LSOA21CD,LSOA21NM,borough_name,london_ring,IMD_Decile,older_adults_pct,older_single_intensity,older_need_score,older_access_score,older_mismatch_index,working_age_pct,working_need_score,working_access_score,working_mismatch_index,children_pct,child_household_intensity,family_need_score,family_access_score,family_mismatch_index,children_need_score,children_access_score,children_mismatch_index,general_access_score
E01000001,City of London 001A,City of London,Inner London,9,25.1529571719918,15.3388822829964,51.9893059125982,63.5333333333333,-11.5440274207352,66.5533650577839,40.6363380933156,62.3333333333333,-53.4550295736888,8.29367777022434,10.9393579072533,12.571526974261,61.3333333333333,-48.7618063590723,12.571526974261,61.3333333333333,-48.7618063590723,61.6666666666667
E01000002,City of London 001B,City of London,Inner London,10,20,12.2572815533981,41.3233072231736,61.4,-20.0766927768265,73.7906137184116,55.7705789115498,59.5333333333333,-53.0700594557166,6.20938628158845,8.85922330097087,7.96920679860403,62,-54.030793201396,7.96920679860403,62,-54.030793201396,57.5
E01000003,City of London 001C,City of London,Inner London,5,17.6908752327747,15.732546705998,41.5313564364786,76.3333333333334,-34.8019768968548,75.667287399131,59.6950027849153,72.4666666666667,-65.9510387681098,6.64183736809435,7.86627335299902,8.0775505599485,75.4666666666667,-67.3891161067182,8.0775505599485,75.4666666666667,-67.3891161067182,70.8333333333334
E01000005,City of London 001E,City of London,Inner London,3,9.52813067150635,9.85324947589099,23.6106814341879,75.3333333333334,-51.7226518991454,77.6769509981852,63.8975297807319,76.7333333333333,-50.8178977192807,12.7949183303085,22.6415094339623,26.7952783223143,75.0666666666667,-48.2713883443523,26.7952783223143,75.0666666666667,-48.2713883443523,70
E01000006,Barking and Dagenham 016A,Barking and Dagenham,Outer London,5,8.56368563685637,4.69314079422383,16.9069603849136,21.4666666666667,-4.55970628175311,68.9972899728997,45.7469747373574,24.8,29.5384524644963,22.4390243902439,46.3898916967509,56.4834918629102,35.2,21.2834918629102,56.4834918629102,35.2,21.2834918629102,22.5
E01000007,Barking and Dagenham 015A,Barking and Dagenham,Outer London,3,2.4776324845148,2.35294117647059,5.64416294694232,59.4666666666667,-53.8225037197244,71.7825189263592,51.5713325412964,51.1333333333333,-0.534972745381623,25.739848589126,38.0672268907563,56.8685373125872,61.6,-4.73146268741284,56.8685373125872,61.6,-4.73146268741284,49.1666666666667
E01000008,Barking and Dagenham 015B,Barking and Dagenham,Outer London,2,3.6231884057971,3.08529945553539,8.06389194199549,34.4666666666667,-26.4027747246712,66.4994425863991,40.5235776085349,31.1333333333333,37.3875435030415,29.8773690078038,52.0871143375681,71.8822181685761,41.2,30.6822181685761,71.8822181685761,41.2,30.6822181685761,30
E01000009,Barking and Dagenham 016B,Barking and Dagenham,Outer London,3,8.92956184137549,7.32113144758736,20.1386941088361,49,-28.8613058911639,68.9961175818081,45.7445230806649,41.4,0.819402478192089,22.0743205768164,37.1048252911814,50.3767155958417,42,8.37671559584173,50.3767155958417,42,8.37671559584173,38.3333333333333
E01000011,Barking and Dagenham 016C,Barking and Dagenham,Outer London,3,7.74647887323944,4.0084388185654,15.0141434722956,43.0666666666667,-28.0525231943711,69.8356807511737,47.5001835233443,32.0666666666667,19.0851438356912,22.4178403755869,47.6793248945148,57.2155418024708,36.6666666666667,20.5488751358041,57.2155418024708,36.6666666666667,20.5488751358041,31.6666666666667
E01000012,Barking and Dagenham 015D,Barking and Dagenham,Outer London,2,3.91822827938671,3.57598978288633,8.9973457837984,29.8,-20.8026542162016,63.2879045996593,33.8077396475366,23.2666666666667,49.2676341476822,32.793867120954,52.6181353767561,76.9079878859953,30.5333333333333,46.374654552662,76.9079878859953,30.5333333333333,46.374654552662,23.3333333333333
