LSOA21CD,LSOA21NM,borough_name,london_ring,IMD_Decile,older_adults_pct,children_pct,family_walk_index,family_transit_index,working_walk_index,working_transit_index,older_walk_index,older_transit_index,children_walk_index,children_transit_index,caregiver_household_intensity,care_walk_index,care_transit_index,care_transit_gain,care_mismatch_index,older_transit_gain,children_transit_gain,walk_service_basket_mean,transit_service_basket_mean,transit_gain_mean,transit_gain_group,inner_london,most_deprived,least_deprived,vulnerability_typology,older_mismatch_z,children_mismatch_z
E01000001,City of London 001A,City of London,Inner London,9,25.1529571719918,8.29367777022434,61.3333333333333,80.6666666666667,62.3333333333333,81.1666666666667,63.5333333333333,81.7666666666667,61.3333333333333,80.6666666666667,10.9393579072533,62.3333333333333,81.1666666666667,18.8333333333333,-53.4550295736888,18.2333333333334,19.3333333333334,62.4,81.2,18.8000000000001,Bottom 20% gain,TRUE,FALSE,TRUE,Low caregiving adult demand + Less deprived,0.553130700602885,-3.72037496811002
E01000002,City of London 001B,City of London,Inner London,10,20,6.20938628158845,62,81,59.5333333333333,79.7666666666667,61.4,80.7,62,81,8.85922330097087,59.5333333333333,79.7666666666667,20.2333333333333,-53.0700594557166,19.3,19,60.9777777777778,80.4888888888889,19.5111111111111,Bottom 20% gain,TRUE,FALSE,TRUE,Low caregiving adult demand + Less deprived,-0.248670741207338,-4.12940828634622
E01000003,City of London 001C,City of London,Inner London,5,17.6908752327747,6.64183736809435,75.4666666666667,87.7333333333333,72.4666666666667,86.2333333333334,76.3333333333334,88.1666666666667,75.4666666666667,87.7333333333333,7.86627335299902,72.4666666666667,86.2333333333334,13.7666666666667,-65.9510387681098,11.8333333333333,12.2666666666666,74.7555555555556,87.3777777777778,12.6222222222222,Bottom 20% gain,TRUE,FALSE,FALSE,Low caregiving adult demand + More deprived,-1.09132970333731,-4.90804473263625
E01000005,City of London 001E,City of London,Inner London,3,9.52813067150635,12.7949183303085,75.0666666666667,87.9333333333334,76.7333333333333,89.0666666666667,75.3333333333334,88.1666666666667,75.0666666666667,87.9333333333334,22.6415094339623,76.7333333333333,89.0666666666667,12.3333333333333,-50.8178977192807,12.8333333333333,12.8666666666667,75.7111111111111,88.3888888888889,12.6777777777778,Bottom 20% gain,TRUE,TRUE,FALSE,Low caregiving adult demand + More deprived,-2.58744329076511,-3.37963427811798
E01000006,Barking and Dagenham 016A,Barking and Dagenham,Outer London,5,8.56368563685637,22.4390243902439,35.2,63.4666666666667,24.8,51.1,21.4666666666667,55.0666666666667,35.2,63.4666666666667,46.3898916967509,24.8,51.1,26.3,29.5384524644963,33.6,28.2666666666667,27.1555555555556,56.5444444444445,29.3888888888889,Middle 60%,FALSE,FALSE,FALSE,High caregiving adult demand + More deprived,-0.0640084678664966,1.33834796822485
E01000007,Barking and Dagenham 015A,Barking and Dagenham,Outer London,3,2.4776324845148,25.739848589126,61.6,76.9333333333334,51.1333333333333,65.1,59.4666666666667,74.4333333333333,61.6,76.9333333333334,38.0672268907563,51.1333333333333,65.1,13.9666666666667,-0.534972745381623,14.9666666666666,15.3333333333334,57.4,72.1555555555556,14.7555555555556,Bottom 20% gain,FALSE,TRUE,FALSE,High caregiving adult demand + More deprived,-3.23067683267946,-0.174205782685886
E01000008,Barking and Dagenham 015B,Barking and Dagenham,Outer London,2,3.6231884057971,29.8773690078038,41.2,66.5333333333334,31.1333333333333,55.2333333333333,34.4666666666667,61.4,41.2,66.5333333333334,52.0871143375681,31.1333333333333,55.2333333333333,24.1,37.3875435030415,26.9333333333333,25.3333333333334,35.6,61.0555555555556,25.4555555555556,Middle 60%,FALSE,TRUE,FALSE,High caregiving adult demand + More deprived,-1.57998344398685,2.22570450678568
E01000009,Barking and Dagenham 016B,Barking and Dagenham,Outer London,3,8.92956184137549,22.0743205768164,42,67.5333333333334,41.4,60.8333333333333,49,69.7,42,67.5333333333334,37.1048252911814,41.4,60.8333333333333,19.4333333333333,0.819402478192089,20.7,25.5333333333334,44.1333333333333,66.0222222222222,21.8888888888889,Middle 60%,FALSE,TRUE,FALSE,High caregiving adult demand + More deprived,-1.37072263578356,0.449752724722286
E01000011,Barking and Dagenham 016C,Barking and Dagenham,Outer London,3,7.74647887323944,22.4178403755869,36.6666666666667,65.1333333333334,32.0666666666667,56.4333333333333,43.0666666666667,67.0333333333333,36.6666666666667,65.1333333333334,47.6793248945148,32.0666666666667,56.4333333333333,24.3666666666667,19.0851438356912,23.9666666666666,28.4666666666667,37.2666666666667,62.8666666666667,25.6,Middle 60%,FALSE,TRUE,FALSE,High caregiving adult demand + More deprived,-1.47305548824276,1.31145865147727
E01000012,Barking and Dagenham 015D,Barking and Dagenham,Outer London,2,3.91822827938671,32.793867120954,30.5333333333333,60.2,23.2666666666667,48.6333333333333,29.8,58.0666666666667,30.5333333333333,60.2,52.6181353767561,23.2666666666667,48.6333333333333,25.3666666666667,49.2676341476822,28.2666666666667,29.6666666666667,27.8666666666667,55.6333333333333,27.7666666666667,Middle 60%,FALSE,TRUE,FALSE,High caregiving adult demand + More deprived,-1.23008373063004,3.25345018546845
