osm_type,osm_id,name,category,lon,lat,source_geometry_type
node,3799525535,London Bridge Station,transport_bus_stops,-0.0871561,51.5055697,Point
node,3799581744,Canada Square South / Canary Wharf Station,transport_bus_stops,-0.018598,51.5045087,Point
node,3800082872,The Blue Bridge,transport_bus_stops,-0.0086794,51.5020524,Point
node,3800082873,Coldharbour,transport_bus_stops,-0.0080976,51.5033898,Point
node,3800082874,Coldharbour,transport_bus_stops,-0.007578,51.5043457,Point
node,3800082875,Aspen Way,transport_bus_stops,-0.0074399,51.5059686,Point
node,3800082876,Aspen Way,transport_bus_stops,-0.0076617,51.5064654,Point
node,3802531957,Marsh Wall / Heron Quay,transport_bus_stops,-0.0257101,51.5031016,Point
node,3802531958,Marsh Wall / Heron Quay,transport_bus_stops,-0.0258738,51.502344,Point
node,3802531959,Cuba Street,transport_bus_stops,-0.0259838,51.5012516,Point
node,3802531960,Byng Street,transport_bus_stops,-0.0260359,51.5004179,Point
node,3802531961,Barkantine Clinic / Hutchings Street,transport_bus_stops,-0.0259259,51.4987457,Point
node,3802531962,Barkantine Clinic / Hutchings Street,transport_bus_stops,-0.0258934,51.4983204,Point
node,3802531963,Sir John McDougall Gardens,transport_bus_stops,-0.0257995,51.4970355,Point
node,3802531964,Sir John McDougall Gardens,transport_bus_stops,-0.0257603,51.4965387,Point
node,3802531965,Arnhem Wharf Primary School,transport_bus_stops,-0.0253822,51.4948877,Point
node,3802531966,Arnhem Wharf Primary School,transport_bus_stops,-0.0249177,51.4943278,Point
node,3802531967,Crews Street,transport_bus_stops,-0.0248834,51.4930508,Point
node,3802531968,Crews Street / The Space Theatre,transport_bus_stops,-0.0246241,51.4923072,Point
node,3802531969,St Edmund's School,transport_bus_stops,-0.023951,51.4913901,Point
node,3802531970,St Edmund's School,transport_bus_stops,-0.0228785,51.4904775,Point
node,3802531972,Harbinger School / Masthouse Terrace Pier,transport_bus_stops,-0.0202859,51.4889816,Point
node,3802531973,Maconochies Road,transport_bus_stops,-0.0184034,51.488171,Point
