layer,feature_count,area_sqm,source_pbf,elapsed_seconds
residential_buildings,604130,70733282.7761065,data\raw\osm\greater-london-latest.osm.pbf,65.6
residential_landuse,18182,719329082.6860683,data\raw\osm\greater-london-latest.osm.pbf,65.6
