group,mode,n_lsoas,pearson_correlation,spearman_rank_correlation,mean_absolute_difference,median_absolute_difference,rmse,lowest_accessibility_20_overlap_count,lowest_accessibility_20_jaccard,highest_mismatch_20_overlap_count,highest_mismatch_20_jaccard,overestimate_0_25_count,underestimate_0_25_count,overestimate_0_5_count,underestimate_0_5_count,overestimate_0_75_count,underestimate_0_75_count
children_and_adolescents,walk_15min,4992,0.844158365321004,0.849040523432976,6.72814075090051,4.73224238763945,9.39083584329036,657,0.488475836431227,703,0.542857142857143,1514,2180,1002,1557,641,1140
children_and_adolescents,walk_transit_30min,4992,0.816266651623591,0.875141794507091,5.07788195044016,2.9179186476926,8.66202576941235,691,0.528691660290742,763,0.617813765182186,1236,1861,628,1200,323,812
caregiving_adults,walk_15min,4992,0.850464720657785,0.847135944672204,5.82370117130049,4.11848926564995,8.30571679962726,624,0.454148471615721,742,0.590764331210191,1395,2241,878,1663,519,1202
caregiving_adults,walk_transit_30min,4992,0.844588966612342,0.889787480606405,4.85576515386857,2.92799153911779,8.1156665918317,694,0.531393568147014,779,0.639048400328138,1181,2014,628,1304,317,883
older_adults,walk_15min,4992,0.870919220046104,0.867463669904456,6.21212936862274,4.394133165621,8.82208026162233,663,0.495886312640239,808,0.678991596638656,1383,2275,892,1657,547,1185
older_adults,walk_transit_30min,4992,0.84218977465949,0.887604642937853,5.28985783225172,3.1230999273097,8.73270482427045,712,0.553654743390358,816,0.690355329949239,1216,1989,647,1321,349,910
