LSOA21CD,IMD_Decile,group_key,accessibility_score,group,imd
E01000768,8,older_walk_index,14.6,Older adults,8
E01000769,4,older_walk_index,7.4,Older adults,4
E01000770,9,older_walk_index,22.0666666666667,Older adults,9
E01000771,10,older_walk_index,34.2666666666667,Older adults,10
E01000772,10,older_walk_index,23.3333333333333,Older adults,10
E01000773,9,older_walk_index,26.9333333333333,Older adults,9
E01000774,8,older_walk_index,38,Older adults,8
E01000775,9,older_walk_index,18.8,Older adults,9
E01000777,9,older_walk_index,18.7333333333333,Older adults,9
E01000778,7,older_walk_index,17.7333333333333,Older adults,7
E01000779,6,older_walk_index,3.26666666666667,Older adults,6
E01000780,4,older_walk_index,25.2666666666667,Older adults,4
E01000781,2,older_walk_index,24.7333333333333,Older adults,2
E01000782,1,older_walk_index,42.0666666666667,Older adults,1
E01000783,3,older_walk_index,36.0666666666667,Older adults,3
E01000784,8,older_walk_index,31.3333333333333,Older adults,8
E01000785,3,older_walk_index,28.4666666666667,Older adults,3
E01000786,8,older_walk_index,13.4,Older adults,8
E01000787,4,older_walk_index,39.2,Older adults,4
E01000788,4,older_walk_index,21.2,Older adults,4
E01000789,2,older_walk_index,49.8,Older adults,2
E01000790,7,older_walk_index,49.5333333333333,Older adults,7
E01000791,8,older_walk_index,13.6,Older adults,8
E01000792,5,older_walk_index,37.9333333333333,Older adults,5
E01000793,10,older_walk_index,4.66666666666667,Older adults,10
E01000794,10,older_walk_index,33.3333333333333,Older adults,10
E01000795,6,older_walk_index,21.1333333333333,Older adults,6
E01000796,3,older_walk_index,33.0666666666667,Older adults,3
E01000797,7,older_walk_index,17.5333333333333,Older adults,7
E01000798,2,older_walk_index,38.3333333333333,Older adults,2
E01000799,5,older_walk_index,44.7333333333333,Older adults,5
E01000800,3,older_walk_index,37.4666666666667,Older adults,3
E01000801,5,older_walk_index,37.9333333333333,Older adults,5
E01000802,5,older_walk_index,10.6,Older adults,5
E01000803,6,older_walk_index,34.5333333333333,Older adults,6
E01000804,9,older_walk_index,12.1333333333333,Older adults,9
E01000805,4,older_walk_index,28.5333333333333,Older adults,4
E01000806,4,older_walk_index,47.2666666666667,Older adults,4
E01000807,9,older_walk_index,8,Older adults,9
E01000808,9,older_walk_index,13.7333333333333,Older adults,9
E01000809,10,older_walk_index,19.8,Older adults,10
E01000810,10,older_walk_index,17.8666666666667,Older adults,10
E01000811,10,older_walk_index,33.8666666666667,Older adults,10
E01000812,8,older_walk_index,38.8666666666667,Older adults,8
E01000813,10,older_walk_index,35.3333333333333,Older adults,10
E01000814,10,older_walk_index,44.0666666666667,Older adults,10
E01000815,10,older_walk_index,18.5333333333333,Older adults,10
E01000816,7,older_walk_index,10.4666666666667,Older adults,7
E01000818,7,older_walk_index,0,Older adults,7
E01000819,4,older_walk_index,34.2666666666667,Older adults,4
E01000820,5,older_walk_index,30.0666666666667,Older adults,5
E01000822,7,older_walk_index,45.6666666666667,Older adults,7
E01000823,7,older_walk_index,36.2666666666667,Older adults,7
E01000824,6,older_walk_index,40.6,Older adults,6
E01000825,6,older_walk_index,25.4666666666667,Older adults,6
E01000826,10,older_walk_index,3.73333333333333,Older adults,10
E01000827,10,older_walk_index,29.7333333333333,Older adults,10
E01000828,8,older_walk_index,11.6666666666667,Older adults,8
E01000829,9,older_walk_index,37.6,Older adults,9
E01000830,10,older_walk_index,11.8666666666667,Older adults,10
E01000831,9,older_walk_index,15.2666666666667,Older adults,9
E01000832,9,older_walk_index,21.2,Older adults,9
E01000833,10,older_walk_index,13.3333333333333,Older adults,10
E01000834,10,older_walk_index,23.0666666666667,Older adults,10
E01000835,9,older_walk_index,50.5333333333333,Older adults,9
E01000836,10,older_walk_index,9.46666666666667,Older adults,10
E01000837,8,older_walk_index,28.2666666666667,Older adults,8
E01000838,10,older_walk_index,8.2,Older adults,10
E01000839,10,older_walk_index,3.06666666666667,Older adults,10
E01000840,8,older_walk_index,20.9333333333333,Older adults,8
E01000841,10,older_walk_index,17.3333333333333,Older adults,10
E01000842,9,older_walk_index,33.2,Older adults,9
E01000843,7,older_walk_index,58.2,Older adults,7
E01000844,8,older_walk_index,53.1333333333333,Older adults,8
E01000845,7,older_walk_index,57,Older adults,7
E01000846,4,older_walk_index,45.6,Older adults,4
E01000847,6,older_walk_index,50.8666666666667,Older adults,6
E01000848,9,older_walk_index,51.8,Older adults,9
E01000849,9,older_walk_index,63.0666666666667,Older adults,9
E01000850,6,older_walk_index,83.4666666666667,Older adults,6
E01000851,6,older_walk_index,68.4666666666667,Older adults,6
E01000853,3,older_walk_index,82.4,Older adults,3
E01000855,6,older_walk_index,59.2666666666667,Older adults,6
E01000856,3,older_walk_index,65.4,Older adults,3
E01000857,6,older_walk_index,60.4,Older adults,6
E01000858,2,older_walk_index,39.0666666666667,Older adults,2
E01000859,9,older_walk_index,46.9333333333333,Older adults,9
E01000860,5,older_walk_index,49.7333333333333,Older adults,5
E01000861,2,older_walk_index,53.6,Older adults,2
E01000862,8,older_walk_index,30.2666666666667,Older adults,8
E01000863,2,older_walk_index,58.5333333333333,Older adults,2
E01000866,4,older_walk_index,68.4,Older adults,4
E01000867,3,older_walk_index,62.3333333333333,Older adults,3
E01000868,2,older_walk_index,20.0666666666667,Older adults,2
E01000869,4,older_walk_index,56.3333333333333,Older adults,4
E01000870,3,older_walk_index,52.6,Older adults,3
E01000871,7,older_walk_index,31.7333333333333,Older adults,7
