quadrant,n,mean_need,mean_access,mean_mismatch
Low need / high access,1452,26.7892700239259,50.2145087235997,-23.4252386996737
High need / low access,1451,48.3139414817078,23.4130025269929,24.9009389547149
High need / high access,1046,48.2272212230416,44.9017845761631,3.32543664687832
Low need / low access,1045,32.0982157095845,22.8640510366826,9.23416467290189
