group,metric_key,metric,mean,lo,hi
Bottom 20%,transit_gain_mean,"Scenario difference
(score points)",15.9421888888889,15.2278467844541,16.5412110932717
Top 20%,transit_gain_mean,"Scenario difference
(score points)",33.5767767767768,33.3355451770452,33.7714070175645
Bottom 20%,walk_service_basket_mean,"Walking baseline
(score)",48.5000888888889,41.438025791124,54.5490534697504
Top 20%,walk_service_basket_mean,"Walking baseline
(score)",23.8029362696029,22.7755369507491,24.890320995467
Bottom 20%,IMD_Decile,"Mean IMD
decile",4.62990455991517,4.10961184252227,5.19051034364518
Top 20%,IMD_Decile,"Mean IMD
decile",5.70020533880904,5.20335584554335,6.15986972428849
Bottom 20%,inner_london_pct,"Inner London
share (%)",52.7,32.8516184602602,68.9944166272338
Top 20%,inner_london_pct,"Inner London
share (%)",19.9199199199199,9.11477379189459,34.8872039438431
Bottom 20%,care_mismatch_index,"Care mismatch
(score)",-10.5820978458066,-18.4308274687989,-1.74745917537747
Top 20%,care_mismatch_index,"Care mismatch
(score)",14.7620638304822,12.4402420763324,16.8200061554873
