LSOA21CD,LSOA21NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
E01000923,Camden 003D,1447,66,58,74,48,99,293,303,289,123,56,38
E01000924,Camden 009C,1570,73,62,64,64,117,436,346,236,98,62,12
E01000925,Camden 009D,1496,70,106,146,90,172,217,273,233,100,62,27
E01000926,Camden 009E,1471,71,72,96,69,185,336,312,220,72,29,9
E01000927,Camden 007F,1538,74,58,78,68,132,324,334,242,132,71,25
E01000928,Camden 003E,1713,76,86,115,56,129,356,382,304,128,61,20
E01000929,Camden 020A,1914,91,143,185,138,143,299,413,306,108,65,23
E01000930,Camden 020B,2087,123,97,138,87,125,440,435,305,196,102,39
E01000931,Camden 013C,2059,147,118,119,84,129,440,507,324,112,61,18
E01000932,Camden 013D,1760,82,40,62,57,152,493,440,263,112,46,13
E01000933,Camden 020C,1769,86,78,93,56,143,474,378,261,97,74,29
E01000934,Camden 020D,1514,65,74,114,78,112,252,307,283,142,60,27
E01000935,Camden 020E,1602,99,116,117,92,103,262,359,298,94,47,15
E01000937,Camden 029G,1119,24,24,28,221,283,193,142,105,63,25,11
E01000938,Camden 029A,1369,65,55,53,65,232,313,295,193,65,27,6
E01000939,Camden 029B,1447,65,61,91,99,287,269,275,183,70,31,16
E01000941,Camden 029D,1198,67,72,73,50,111,209,234,245,82,38,17
E01000942,Camden 029C,1014,22,22,17,166,163,221,152,138,63,42,8
E01000943,Camden 029F,1585,11,14,21,583,356,183,163,151,58,33,12
E01000944,Camden 023A,1462,52,63,113,100,226,252,236,274,73,52,21
E01000946,Camden 021B,1552,61,85,103,73,165,324,306,251,99,59,26
E01000947,Camden 021C,1665,55,44,68,68,371,411,302,213,86,36,11
E01000948,Camden 021D,1533,65,64,95,52,165,288,273,299,120,80,32
E01000949,Camden 023C,1601,93,78,117,88,124,249,372,320,98,42,20
E01000951,Camden 023E,1535,98,106,133,107,175,271,274,234,69,44,24
E01000952,Camden 022A,1688,67,68,143,118,288,306,275,282,87,45,9
E01000954,Camden 022C,1752,123,148,170,132,190,243,339,262,90,38,17
E01000955,Camden 022D,1348,72,83,103,77,172,196,235,239,102,48,21
E01000956,Camden 022E,1505,72,81,120,95,232,300,300,212,65,24,4
E01000957,Camden 019C,1318,65,48,48,40,124,347,301,212,88,32,13
E01000958,Camden 019D,2940,127,119,152,456,566,560,498,335,74,36,17
E01000959,Camden 019E,1693,78,86,96,98,305,313,297,246,100,49,25
E01000960,Camden 017A,1869,112,97,95,70,142,481,465,223,86,67,31
E01000961,Camden 017B,1793,103,102,150,72,150,314,413,302,102,56,29
E01000962,Camden 016A,1543,79,58,64,34,102,451,408,213,73,45,16
E01000963,Camden 017C,1920,140,125,106,87,125,341,500,266,97,67,66
E01000964,Camden 016B,1731,97,79,101,66,133,338,426,287,118,58,28
E01000965,Camden 016C,1719,96,84,115,50,106,467,413,252,87,32,17
E01000966,Camden 016D,1614,105,89,88,40,78,411,419,214,97,58,15
E01000967,Camden 017D,1541,104,98,102,62,72,227,347,297,112,82,38
E01000968,Camden 016E,1469,84,51,46,25,90,470,347,198,81,52,25
E01000969,Camden 010A,1829,85,64,67,39,156,519,503,212,98,66,20
E01000970,Camden 010B,1406,63,42,35,28,65,521,382,157,61,41,11
E01000971,Camden 010C,1323,81,67,94,44,58,268,326,217,104,50,14
E01000972,Camden 010D,1958,95,70,99,101,173,479,392,337,129,66,17
E01000973,Camden 010E,2561,120,88,130,169,271,785,550,290,104,46,8
E01000974,Camden 013E,1594,81,53,73,39,136,461,352,256,82,40,21
E01000975,Croydon 022A,2344,163,139,121,72,113,670,553,328,106,59,20
E01000976,Croydon 022B,2145,177,139,126,96,134,474,520,286,109,65,19
E01000977,Croydon 022C,1940,152,91,87,62,121,368,435,336,163,99,26
E01000978,Croydon 022D,1731,139,81,75,53,84,398,414,274,115,60,38
E01000979,Croydon 022E,1758,118,92,95,44,84,358,502,282,91,72,20
E01000980,Croydon 017A,1492,92,104,132,85,86,213,328,305,88,47,12
E01000981,Croydon 017B,1730,118,131,118,67,100,274,417,330,101,51,23
E01000982,Croydon 017C,1684,143,123,116,55,81,275,454,287,94,44,12
E01000983,Croydon 017D,1820,92,87,117,79,100,299,418,403,137,65,23
E01000984,Croydon 022F,1905,171,124,115,55,126,334,381,357,122,73,47
E01000985,Croydon 021A,1452,67,75,102,73,77,152,251,342,174,98,41
E01000986,Croydon 021B,1771,118,87,112,64,100,231,328,386,201,95,49
E01000987,Croydon 021C,1355,73,59,88,43,69,161,269,339,150,77,27
E01000989,Croydon 018A,1734,80,100,138,89,93,204,350,390,163,91,36
E01000990,Croydon 045A,1437,56,81,147,83,108,175,280,308,113,65,21
E01000991,Croydon 018B,1737,66,70,103,67,90,188,279,407,232,170,65
E01000992,Croydon 014A,1875,97,110,156,108,166,248,361,435,112,67,15
E01000993,Croydon 021D,1647,130,114,121,78,68,215,370,320,135,80,16
E01000994,Croydon 009A,1591,79,115,124,84,91,245,325,318,108,77,25
E01000995,Croydon 009B,1714,110,118,164,88,93,261,377,312,92,68,31
E01000996,Croydon 009C,1330,70,58,99,69,80,220,238,315,126,35,20
E01000997,Croydon 009D,1504,63,73,140,109,109,183,280,328,124,72,23
E01000998,Croydon 010A,1493,114,83,109,52,84,227,330,327,103,51,13
E01000999,Croydon 009E,1324,57,82,114,67,75,184,251,275,133,69,17
E01001000,Croydon 010B,1338,75,92,100,76,77,186,295,291,76,50,20
E01001001,Croydon 013A,1406,98,87,123,63,91,250,294,267,81,33,19
E01001002,Croydon 009F,1473,89,94,135,100,90,204,291,326,81,41,22
E01001003,Croydon 010C,1589,102,113,155,72,85,253,338,303,100,48,20
E01001004,Croydon 015A,2179,155,151,190,121,124,369,501,397,106,46,19
E01001005,Croydon 019A,1736,116,120,152,104,133,261,405,302,82,37,24
E01001006,Croydon 016A,1789,124,168,160,104,97,339,407,278,71,32,9
E01001007,Croydon 016B,1982,76,136,213,138,146,248,386,425,122,66,26
E01001008,Croydon 019B,1666,96,141,170,102,86,208,356,329,109,52,17
E01001009,Croydon 019C,2054,165,157,196,95,126,357,454,351,89,43,21
E01001010,Croydon 019D,1699,87,119,166,102,150,243,352,308,114,48,10
E01001011,Croydon 019E,2311,215,174,183,152,194,385,511,361,84,46,6
E01001012,Croydon 020A,2099,172,142,163,91,134,375,506,360,81,53,22
E01001013,Croydon 020B,2197,220,170,174,99,133,330,517,348,120,63,23
E01001015,Croydon 041A,1494,89,108,147,76,101,156,293,284,137,82,21
E01001016,Croydon 041B,1756,103,121,127,94,83,152,391,334,186,118,47
E01001017,Croydon 043A,1648,110,95,102,70,71,149,373,328,199,107,44
E01001018,Croydon 044A,1648,88,99,132,56,67,167,341,333,193,122,50
E01001019,Croydon 044B,1461,90,72,86,42,58,139,278,298,202,141,55
E01001020,Croydon 044C,1652,132,107,128,57,59,144,355,321,193,114,42
E01001021,Croydon 044D,1356,78,107,128,68,69,157,242,254,117,85,51
E01001022,Croydon 044E,1481,73,70,86,57,59,118,275,324,180,165,74
E01001023,Croydon 041C,2596,244,175,186,91,99,560,625,335,126,94,61
E01001024,Croydon 043B,1340,81,80,96,46,74,156,286,277,148,77,19
E01001025,Croydon 043C,1347,93,91,101,48,64,137,307,252,144,79,31
E01001026,Croydon 043D,1881,146,150,163,77,99,242,419,311,163,91,20
E01001027,Croydon 043E,2909,284,234,237,119,106,459,775,410,172,88,25
E01001028,Croydon 038A,1654,65,95,122,74,77,166,289,346,228,131,61
E01001029,Croydon 038B,1720,112,87,97,66,81,262,327,340,156,112,80
E01001030,Croydon 038C,1452,75,85,113,64,92,172,273,320,140,77,41
E01001031,Croydon 038D,1455,72,87,98,73,80,144,288,348,166,71,28
E01001032,Croydon 035A,1556,80,118,125,57,65,123,340,283,179,116,70
E01001033,Croydon 031A,1671,127,96,94,47,103,340,384,276,117,59,28
E01001034,Croydon 031B,1614,129,82,104,57,82,296,377,287,138,51,11
E01001035,Croydon 047C,1861,134,110,90,49,82,411,487,270,110,69,49
E01001036,Croydon 029A,1619,71,72,104,61,64,232,315,353,183,116,48
E01001037,Croydon 029B,1534,143,110,88,49,64,334,413,201,69,45,18
E01001038,Croydon 029C,1904,118,110,118,47,76,433,554,298,89,46,15
E01001039,Croydon 029D,1567,97,107,127,45,64,184,344,329,152,92,26
E01001040,Croydon 029E,1721,127,106,122,63,87,342,450,279,88,38,19
E01001041,Croydon 031C,1732,121,112,140,80,102,338,407,304,78,42,8
E01001042,Croydon 024B,2172,174,129,143,90,135,515,550,329,70,27,10
E01001044,Croydon 023A,2079,126,135,151,85,85,283,546,302,161,124,81
E01001046,Croydon 023B,1926,157,141,149,46,65,359,560,233,98,81,37
E01001047,Croydon 047A,1733,129,87,103,51,72,401,464,268,81,61,16
E01001049,Croydon 023C,1440,80,74,82,52,62,151,293,305,163,121,57
E01001050,Croydon 023D,1715,97,106,114,61,75,267,422,233,150,135,55
E01001051,Croydon 030A,1603,108,139,203,117,103,166,293,258,108,88,20
E01001052,Croydon 030B,1465,64,119,189,133,116,156,295,235,84,58,16
E01001053,Croydon 032A,1599,100,97,173,124,110,155,306,319,126,67,22
E01001054,Croydon 030C,1858,107,135,249,143,118,209,387,320,89,72,29
E01001055,Croydon 032B,1569,75,123,154,87,111,180,275,327,131,76,30
E01001056,Croydon 030D,1811,115,183,290,156,113,194,371,299,55,26,9
E01001057,Croydon 030E,1792,115,220,277,131,104,240,334,263,65,30,13
E01001058,Croydon 034A,1353,83,106,96,54,78,151,281,264,143,68,29
E01001059,Croydon 034B,1451,114,109,95,40,58,242,309,257,156,48,23
E01001060,Croydon 034C,1618,108,118,144,72,76,196,333,315,156,71,29
E01001061,Croydon 034D,1621,95,106,101,62,102,270,337,332,134,60,22
E01001062,Croydon 026A,1513,52,65,92,73,73,145,237,310,206,162,98
E01001063,Croydon 026B,1535,80,88,107,49,77,167,292,355,174,113,33
E01001064,Croydon 026C,1599,67,70,106,66,87,180,266,358,203,143,53
E01001065,Croydon 034E,1324,55,67,71,35,63,197,263,288,148,90,47
E01001066,Croydon 034F,1454,76,94,167,97,109,169,273,307,89,53,20
E01001067,Croydon 041D,1657,80,98,137,75,65,122,350,401,186,110,33
E01001068,Croydon 042A,1837,121,120,128,60,90,225,388,400,164,95,46
E01001069,Croydon 040A,1368,94,90,80,44,47,165,305,264,137,83,59
E01001070,Croydon 040B,1788,101,134,152,88,100,197,350,356,144,93,73
E01001071,Croydon 042B,1896,109,114,156,84,108,204,454,399,160,89,19
E01001072,Croydon 042C,1482,68,65,97,42,55,116,252,326,211,168,82
E01001073,Croydon 037A,1436,111,81,82,61,69,205,326,269,142,69,21
E01001074,Croydon 041E,1946,131,137,147,80,104,284,429,355,162,89,28
E01001075,Croydon 040C,1628,108,106,132,49,58,282,372,290,128,66,37
E01001076,Croydon 036A,1666,121,141,195,88,107,204,339,303,98,54,16
E01001077,Croydon 032C,1332,66,76,108,55,71,172,270,273,146,71,24
E01001078,Croydon 032D,1448,76,119,152,83,93,176,276,291,99,68,15
E01001079,Croydon 036B,1613,83,115,154,89,111,196,311,337,136,61,20
E01001080,Croydon 036C,1481,87,94,153,89,77,179,265,295,105,79,58
E01001081,Croydon 036D,1472,77,124,162,89,92,177,297,266,98,63,27
E01001082,Croydon 032E,1550,98,120,135,84,108,208,302,316,112,51,16
E01001083,Croydon 003A,1616,72,83,111,73,79,232,297,317,190,114,48
E01001084,Croydon 002A,1931,96,84,132,90,111,231,406,397,210,122,52
E01001085,Croydon 004A,1707,96,90,116,61,85,257,414,323,130,96,39
E01001086,Croydon 003B,1728,97,74,92,75,80,268,339,368,179,110,46
E01001087,Croydon 003C,2827,247,148,187,117,146,584,625,433,164,85,91
E01001088,Croydon 004B,1681,80,90,144,94,122,251,362,333,111,74,20
E01001089,Croydon 004C,1786,88,121,141,101,122,276,433,286,116,71,31
E01001090,Croydon 004D,2277,143,163,182,93,122,375,521,433,135,77,33
E01001091,Croydon 004E,1575,69,69,116,73,88,214,296,344,174,99,33
E01001092,Croydon 037B,1933,100,102,115,71,84,302,345,384,193,143,94
E01001093,Croydon 037C,1793,104,114,135,69,97,239,412,342,166,82,33
E01001094,Croydon 038E,1644,64,84,128,65,98,176,278,360,203,124,64
E01001095,Croydon 031D,1532,118,125,128,75,66,264,338,263,97,47,11
E01001096,Croydon 037D,1480,86,85,105,55,68,152,301,313,175,105,35
E01001097,Croydon 037E,2388,166,118,144,76,107,463,573,377,144,117,103
E01001098,Croydon 037F,1471,77,88,114,52,71,134,322,330,151,107,25
E01001099,Croydon 040D,1585,110,120,140,72,71,253,380,257,114,59,9
E01001100,Croydon 031E,1512,99,82,92,67,66,230,355,287,120,87,27
E01001101,Croydon 035B,1435,90,93,101,56,66,135,280,325,165,93,31
E01001102,Croydon 035C,1517,76,89,123,50,56,108,277,284,192,154,108
E01001103,Croydon 039A,1634,79,104,107,70,66,109,300,348,212,164,75
E01001104,Croydon 042D,1678,95,96,112,70,83,167,375,370,174,96,40
E01001105,Croydon 039B,1737,83,103,173,100,105,187,349,385,145,72,35
E01001106,Croydon 039C,1502,77,89,117,81,79,161,300,320,155,76,47
E01001107,Croydon 035D,1669,86,96,118,48,54,147,376,328,247,126,43
E01001108,Croydon 035E,1787,90,116,159,56,95,112,349,393,222,134,61
E01001109,Croydon 013B,2350,182,178,188,93,169,396,470,371,137,111,55
E01001110,Croydon 020D,2149,182,195,144,120,108,372,540,353,84,42,9
E01001111,Croydon 010D,1746,119,70,166,99,104,268,402,361,93,46,18
E01001112,Croydon 013C,2017,159,135,170,75,89,320,515,326,128,60,40
E01001113,Croydon 013D,2006,193,113,119,71,121,344,542,348,89,51,15
E01001114,Croydon 013E,1508,105,110,164,103,76,211,396,242,71,24,6
E01001115,Croydon 015B,1818,137,157,160,117,119,260,386,278,114,66,24
E01001116,Croydon 013F,1525,99,119,131,67,84,266,321,307,85,33,13
E01001118,Croydon 020E,2153,157,151,185,103,135,324,447,435,127,69,20
E01001119,Croydon 034G,1438,66,100,93,62,62,122,291,281,221,104,36
E01001120,Croydon 033A,1347,88,89,79,59,80,145,247,306,130,88,36
E01001121,Croydon 039D,1325,52,63,80,42,48,88,231,252,269,139,61
E01001122,Croydon 033B,1445,54,73,124,115,68,108,248,326,198,97,34
E01001123,Croydon 033C,1620,67,80,120,78,78,155,325,374,159,131,53
E01001124,Croydon 033D,1567,63,71,104,49,69,116,249,363,255,157,71
E01001125,Croydon 033E,1645,78,108,136,72,89,175,309,331,187,116,44
E01001126,Croydon 034H,1417,84,68,87,49,51,160,251,312,194,124,37
E01001127,Croydon 025A,1626,79,74,106,80,89,155,262,409,232,101,39
E01001128,Croydon 025B,1602,90,147,180,117,113,190,314,290,96,48,17
E01001129,Croydon 026D,1394,43,59,102,60,79,136,213,371,191,106,34
E01001130,Croydon 025C,1766,134,173,284,143,125,194,376,245,59,18,15
E01001131,Croydon 018C,1571,111,98,153,66,71,216,328,268,128,100,32
E01001132,Croydon 018D,1619,73,71,124,53,76,179,258,361,201,156,67
E01001133,Croydon 026E,1587,59,62,70,51,77,171,227,353,225,188,104
E01001134,Croydon 018E,1612,89,78,93,78,82,209,303,355,181,110,34
E01001135,Croydon 025D,1679,66,93,120,72,86,183,285,378,199,140,57
E01001136,Croydon 007A,2040,157,102,116,52,119,443,507,329,97,71,47
E01001137,Croydon 001A,2131,182,128,103,61,94,414,548,338,129,90,44
E01001138,Croydon 001B,1515,103,102,96,53,39,273,407,280,101,41,20
E01001139,Croydon 007B,1699,123,99,120,74,81,253,386,364,109,63,27
E01001140,Croydon 007C,1628,115,76,120,52,69,248,443,349,80,45,31
E01001141,Croydon 008A,1274,67,107,77,45,72,235,306,251,76,27,11
E01001142,Croydon 007D,1920,93,125,146,105,85,250,456,377,142,95,46
E01001143,Croydon 008B,1933,149,108,151,79,112,291,439,367,135,74,28
E01001144,Croydon 007E,1754,107,88,107,80,75,380,431,315,90,56,25
E01001145,Croydon 008C,1827,131,149,166,80,84,296,451,300,92,56,22
E01001146,Croydon 006A,1530,77,82,130,77,76,214,299,353,142,62,18
E01001147,Croydon 005A,1782,125,149,150,92,106,291,369,386,78,28,8
E01001148,Croydon 005B,1761,104,99,128,127,109,247,355,418,104,49,21
E01001149,Croydon 006B,1587,125,101,147,77,69,212,388,317,94,43,14
E01001150,Croydon 006C,1704,105,102,132,80,100,217,402,376,117,52,21
E01001151,Croydon 005C,1751,109,107,126,114,116,251,374,358,105,67,24
E01001152,Croydon 005D,2063,141,145,168,106,129,296,538,374,97,50,19
E01001153,Croydon 006D,1633,75,82,112,88,124,234,335,373,114,70,26
E01001154,Croydon 006E,1961,129,106,162,118,138,320,429,382,126,39,12
E01001155,Croydon 010E,1794,131,134,106,90,108,231,404,308,147,89,46
E01001156,Croydon 001C,1774,114,94,134,63,89,233,455,342,121,75,54
E01001157,Croydon 002B,1851,107,141,159,99,126,205,367,380,142,88,37
E01001158,Croydon 005E,1532,98,106,120,63,72,205,413,289,99,55,12
E01001159,Croydon 002C,1940,133,128,157,73,87,230,444,385,144,112,47
E01001160,Croydon 002D,1949,104,122,167,102,101,239,398,375,177,112,52
E01001161,Croydon 003D,1739,70,96,152,103,131,280,323,361,118,86,19
E01001162,Croydon 001D,1810,105,122,140,97,91,291,432,324,128,63,17
E01001163,Croydon 002E,1975,133,108,135,67,79,270,510,394,140,99,40
E01001164,Croydon 001E,1982,123,88,94,55,84,509,537,286,150,47,9
E01001165,Croydon 024C,1844,115,110,143,78,100,333,454,371,75,46,19
E01001166,Croydon 024D,1969,135,167,152,91,87,341,430,337,131,81,17
E01001167,Croydon 028A,2325,149,176,184,141,140,318,565,425,132,70,25
E01001168,Croydon 024E,1818,93,110,134,71,129,274,448,362,105,71,21
E01001169,Croydon 028B,1831,132,145,195,110,101,248,359,352,108,53,28
E01001170,Croydon 047D,1939,122,145,138,67,69,327,500,284,117,101,69
E01001171,Croydon 028C,1757,115,114,122,92,85,250,368,287,123,95,106
E01001172,Croydon 028D,2204,117,182,279,146,170,292,430,409,121,43,15
E01001173,Croydon 028E,2737,186,173,230,124,145,447,634,509,161,97,31
E01001174,Croydon 011A,1688,97,114,157,110,111,222,323,317,135,85,17
E01001175,Croydon 011B,1639,109,117,140,78,111,268,364,300,79,51,22
E01001176,Croydon 011C,1847,130,135,149,86,132,287,388,345,114,65,16
E01001177,Croydon 016C,1648,72,97,152,98,133,280,342,338,85,38,13
E01001178,Croydon 015D,1628,159,122,135,86,103,306,379,262,42,19,15
E01001179,Croydon 016D,1663,125,122,139,79,107,226,360,306,107,64,28
E01001180,Croydon 016E,1981,135,165,179,110,150,257,435,390,93,49,18
E01001181,Croydon 015E,2190,236,201,231,81,136,317,531,315,76,45,21
E01001182,Croydon 011D,1357,72,70,88,61,107,223,247,283,106,66,34
E01001183,Croydon 011E,1820,147,141,153,72,101,286,397,313,122,57,31
E01001184,Croydon 011F,1301,71,58,93,48,77,190,211,330,120,76,27
E01001185,Croydon 014B,1702,111,119,113,47,79,287,424,344,106,58,14
E01001186,Croydon 014C,1686,95,103,107,65,80,261,397,376,118,61,23
E01001187,Croydon 017E,1985,120,135,145,133,101,313,426,419,118,53,22
E01001188,Croydon 014D,1960,168,126,138,120,115,346,426,375,92,43,11
E01001189,Croydon 045B,1219,88,67,100,61,60,168,294,229,104,36,12
E01001190,Croydon 045C,1551,98,84,139,68,77,245,376,314,94,42,14
E01001191,Croydon 008D,2074,152,132,194,71,121,361,519,371,85,45,23
E01001192,Croydon 008E,1585,103,97,126,79,79,237,365,357,83,48,11
E01001193,Croydon 014E,1682,58,77,111,140,180,289,267,437,79,34,10
E01001194,Croydon 045D,1615,122,112,111,88,70,251,412,294,101,35,19
E01001195,Ealing 021A,1824,112,144,157,59,107,291,433,288,135,71,27
E01001196,Ealing 015A,1616,95,99,135,57,112,296,345,273,89,77,38
E01001197,Ealing 021B,1854,83,168,153,54,101,259,532,274,114,72,44
E01001198,Ealing 021C,1564,111,96,97,61,140,280,367,274,77,44,17
E01001199,Ealing 021D,1663,93,88,114,64,122,357,391,274,102,45,13
E01001200,Ealing 025A,1597,104,98,100,60,136,270,400,268,93,49,19
E01001201,Ealing 025B,1589,93,76,99,65,127,311,339,325,85,51,18
E01001202,Ealing 025C,2501,163,191,196,103,184,503,627,345,102,63,24
E01001203,Ealing 025D,1689,94,82,90,53,100,329,421,351,105,55,9
E01001204,Ealing 018A,1612,76,80,133,76,99,189,332,342,169,83,33
E01001205,Ealing 018B,1780,135,132,157,83,109,278,429,277,112,50,18
E01001206,Ealing 018C,1576,130,130,183,127,110,216,327,254,61,28,10
E01001207,Ealing 018D,1763,124,97,82,54,126,386,416,314,87,59,18
E01001208,Ealing 018E,1360,52,79,128,63,83,106,266,292,175,97,19
E01001209,Ealing 013A,1684,92,103,137,62,76,178,352,387,196,75,26
E01001210,Ealing 016A,1888,134,133,181,106,124,233,359,314,171,105,28
E01001211,Ealing 013B,1734,73,118,136,52,84,206,388,383,159,87,48
E01001212,Ealing 018F,1767,58,72,138,65,83,236,338,398,169,135,75
E01001213,Ealing 023A,2013,106,117,147,105,130,294,443,355,169,107,40
E01001214,Ealing 023B,1744,74,100,132,88,126,216,380,306,184,99,39
E01001215,Ealing 023C,2055,97,134,182,112,119,289,454,379,141,102,46
E01001216,Ealing 023D,1749,98,176,149,75,92,230,399,258,165,73,34
E01001217,Ealing 014A,1451,64,86,108,73,79,198,300,308,135,76,24
E01001218,Ealing 012A,2056,161,136,178,111,138,281,442,330,134,104,41
E01001219,Ealing 029A,2195,135,152,219,145,152,302,451,422,136,58,23
E01001220,Ealing 029B,1516,87,104,166,117,121,213,325,234,83,50,16
E01001223,Ealing 041B,1453,84,76,77,43,66,272,359,244,124,81,27
E01001224,Ealing 019B,1560,68,99,100,63,91,183,305,388,140,95,28
E01001225,Ealing 041A,1809,71,118,95,34,92,370,451,338,122,77,41
E01001226,Ealing 019C,1511,84,76,70,47,65,267,389,250,125,85,53
E01001227,Ealing 019D,1520,68,94,86,66,89,244,320,318,144,72,19
E01001228,Ealing 019E,1834,81,74,82,43,98,514,454,276,120,59,33
E01001229,Ealing 031A,1517,85,101,95,63,108,209,386,270,131,53,16
E01001230,Ealing 031B,1369,67,61,57,36,111,240,338,250,135,47,27
E01001231,Ealing 027A,2047,89,78,115,68,265,397,420,287,156,125,47
E01001232,Ealing 031C,1559,68,69,126,62,95,222,390,288,148,69,22
E01001233,Ealing 031D,1445,86,73,71,41,89,259,344,263,127,64,28
E01001234,Ealing 027B,1373,58,53,78,47,82,372,349,191,89,39,15
E01001235,Ealing 042D,1770,89,68,74,49,112,505,476,236,72,58,31
E01001236,Ealing 042C,1477,75,67,65,38,75,330,370,238,127,66,26
E01001237,Ealing 031E,1562,75,54,59,51,108,299,349,302,146,78,41
E01001239,Ealing 015C,1481,83,71,103,75,128,278,338,281,67,48,9
E01001240,Ealing 024A,1826,65,53,105,82,189,516,355,265,115,62,19
E01001241,Ealing 024B,1856,79,82,118,71,177,508,367,264,107,59,24
E01001242,Ealing 024C,1619,88,66,157,82,106,287,337,288,130,56,22
E01001243,Ealing 024D,2390,144,149,170,95,180,567,528,352,124,60,21
E01001244,Ealing 024E,2788,184,172,190,129,207,662,580,404,121,99,40
E01001245,Ealing 024F,2167,196,147,110,48,100,426,670,307,84,60,19
E01001246,Ealing 015D,1826,100,81,117,66,137,389,446,313,112,44,21
E01001247,Ealing 015E,2270,103,122,170,108,212,411,501,305,138,96,104
E01001248,Ealing 035A,1590,66,94,120,72,98,179,347,297,163,106,48
E01001249,Ealing 028A,2437,166,129,163,117,167,556,645,307,109,57,21
E01001250,Ealing 028B,2181,148,124,143,71,137,380,550,413,128,71,16
E01001251,Ealing 030A,1809,111,125,148,75,60,262,491,334,136,48,19
E01001252,Ealing 030B,2465,160,144,197,93,129,412,706,398,142,59,25
E01001253,Ealing 030C,2129,127,165,191,91,113,316,555,378,109,63,21
E01001254,Ealing 030D,1748,100,124,140,70,60,195,438,366,156,76,23
E01001255,Ealing 028C,1588,98,126,152,71,52,157,421,307,106,72,26
E01001257,Ealing 008A,2233,164,182,223,130,142,378,508,341,98,50,17
E01001258,Ealing 010B,1874,127,120,168,77,92,240,465,316,142,92,35
E01001259,Ealing 014B,1599,106,100,125,71,81,260,358,289,102,86,21
E01001260,Ealing 012B,2039,111,115,153,85,125,307,458,398,148,99,40
E01001261,Ealing 012C,2321,138,128,169,111,134,423,553,410,133,85,37
E01001262,Ealing 010C,1620,79,111,138,83,111,211,325,287,138,83,54
E01001263,Ealing 010D,1947,140,146,165,89,100,333,401,359,129,66,19
E01001264,Ealing 010E,1821,94,103,169,93,142,233,400,339,121,83,44
E01001265,Ealing 006A,1724,108,90,141,82,80,264,450,322,101,63,23
E01001266,Ealing 006B,1834,84,79,130,84,126,274,383,361,175,99,39
E01001267,Ealing 006C,2036,112,129,183,95,97,261,455,375,168,114,47
E01001268,Ealing 012D,1963,103,119,186,88,109,227,448,363,141,125,54
E01001269,Ealing 001A,2271,125,157,183,98,157,358,584,379,137,66,27
E01001270,Ealing 004A,1760,73,120,141,113,91,239,391,389,119,60,24
E01001271,Ealing 001B,1920,119,128,167,113,111,256,436,382,102,82,24
E01001272,Ealing 006D,1718,94,84,123,82,111,266,441,311,102,64,40
E01001273,Ealing 041C,1675,73,105,121,74,121,209,365,325,156,89,37
E01001274,Ealing 041E,1612,112,138,151,65,76,187,442,241,104,76,20
E01001275,Ealing 041D,1800,90,80,81,37,83,418,501,260,131,88,31
E01001276,Ealing 011A,1779,91,96,113,61,139,279,462,311,137,69,21
E01001277,Ealing 011B,2040,207,100,123,73,124,387,495,297,128,77,29
E01001278,Ealing 011C,2079,148,132,174,55,118,370,491,320,157,77,37
E01001279,Ealing 013C,1494,70,108,119,55,47,139,315,277,217,108,39
E01001280,Ealing 011D,1816,125,151,116,44,65,277,494,282,135,84,43
E01001281,Ealing 013D,1571,76,111,131,64,43,188,389,273,140,99,57
E01001282,Ealing 016B,1619,111,100,144,90,67,196,356,307,124,84,40
E01001283,Ealing 016C,1780,111,99,126,66,89,240,434,315,157,114,29
E01001284,Ealing 022A,1720,69,147,185,87,78,178,404,325,120,89,38
E01001285,Ealing 016D,1767,95,110,171,116,145,211,425,320,100,48,26
E01001286,Ealing 016E,1669,92,115,178,99,98,192,386,317,117,48,27
E01001287,Ealing 016F,1615,86,151,160,148,114,182,313,294,93,56,18
E01001288,Ealing 022B,1476,95,99,147,62,66,167,377,267,108,56,32
E01001289,Ealing 022C,1337,66,83,128,71,63,180,309,285,101,36,15
E01001290,Ealing 022D,2052,117,133,157,87,87,317,520,383,145,82,24
E01001291,Ealing 014C,1759,104,129,142,83,108,232,433,298,159,51,20
E01001292,Ealing 014D,1675,70,96,130,74,85,263,341,347,141,83,45
E01001293,Ealing 014E,1828,105,141,163,96,88,245,417,363,129,54,27
E01001294,Ealing 017A,2029,119,140,149,86,117,328,428,389,157,87,29
E01001295,Ealing 017B,1795,86,87,151,99,123,238,421,338,155,75,22
E01001296,Ealing 017C,1439,73,74,121,73,104,207,312,290,110,61,14
E01001297,Ealing 017D,1839,94,117,167,102,118,260,427,319,133,74,28
E01001298,Ealing 017E,2109,75,90,169,92,126,307,423,491,160,115,61
E01001299,Ealing 035B,1754,78,111,163,71,94,157,365,384,187,102,42
E01001300,Ealing 039A,1616,106,141,127,56,55,184,433,318,103,65,28
E01001301,Ealing 039B,1884,89,91,119,72,182,401,468,265,97,67,33
E01001302,Ealing 039C,1599,89,99,136,61,67,187,439,318,112,72,19
