group,scenario,n,mean,median,q1,q3,sd
Children and adolescents,WALK 15,4994,38.8661326925644,39.0666666666667,26.8,51.8333333333334,17.1038310409426
Children and adolescents,WALK + PT 15,4994,39.406380990522,39.6,27.3333333333333,52.4,17.1347751680582
Children and adolescents,WALK + PT 30,4994,64.3372046455747,66.6666666666667,57.8,74.1333333333334,14.507630836217
Caregiving adults,WALK 15,4994,35.5914964624216,35,24.6,46.3333333333333,15.2066020142361
Caregiving adults,WALK + PT 15,4994,36.2343612334802,35.6666666666667,25.0666666666667,47.1333333333333,15.3638968147241
Caregiving adults,WALK + PT 30,4994,59.639947937525,60.7333333333333,51.8333333333333,69.8916666666667,14.5762808434048
Older adults,WALK 15,4994,35.0978774529435,34.2666666666667,20.95,48.2666666666667,17.3502764110393
Older adults,WALK + PT 15,4994,35.8429582165265,35.1333333333333,21.8166666666667,49.05,17.3938724233193
Older adults,WALK + PT 30,4994,60.9823788546256,63.4166666666667,52.7666666666667,72.0583333333334,15.6007201540473
