LSOA21CD,LSOA21NM,borough_name,group,grid_mean_mismatch,grid_mean_lisa_cluster_analytical,grid_local_moran_i_permutation,grid_local_moran_p_permutation,grid_local_moran_q_bh,grid_mean_lisa_cluster_fdr
E01000040,Barking and Dagenham 019A,Barking and Dagenham,older_adults,-1.1481110883771,Not significant,0.407356949336304,0.1213,0.201039043824701,Not significant
E01000041,Barking and Dagenham 017A,Barking and Dagenham,older_adults,-0.218759535039369,Not significant,0.0120208641496032,0.4237,0.454081236582224,Not significant
E01000042,Barking and Dagenham 017B,Barking and Dagenham,older_adults,-0.652290551446431,Not significant,0.120993452230433,0.2379,0.31643932853717,Not significant
E01000043,Barking and Dagenham 019B,Barking and Dagenham,older_adults,-0.271753353516472,Not significant,0.105159072328562,0.0548,0.114893574128517,Not significant
E01000044,Barking and Dagenham 016D,Barking and Dagenham,older_adults,-2.23523531968681,Low-low surplus cluster,0.996133811555155,0.0129,0.0422551181102362,Low-low surplus cluster
E01000045,Barking and Dagenham 017C,Barking and Dagenham,older_adults,-0.328745923246454,Not significant,0.0455967882647876,0.2899,0.358745860188399,Not significant
E01000046,Barking and Dagenham 017D,Barking and Dagenham,older_adults,0.266850032506453,Not significant,-0.0202385132833666,0.3878,0.430965627782725,Not significant
E01000049,Barking and Dagenham 021C,Barking and Dagenham,older_adults,-1.73170399688306,Not significant,0.74435355593232,0.0764,0.145401753717118,Not significant
E01000050,Barking and Dagenham 019C,Barking and Dagenham,older_adults,-2.11914871881588,Low-low surplus cluster,1.8541496838448,0.0001,0.00164752475247525,Low-low surplus cluster
E01000051,Barking and Dagenham 021D,Barking and Dagenham,older_adults,-3.95538656892216,Low-low surplus cluster,3.82965235113558,0.0003,0.00327702407002188,Low-low surplus cluster
E01000052,Barking and Dagenham 019D,Barking and Dagenham,older_adults,-1.28723907578584,Not significant,0.501536967064951,0.0521,0.111051750640478,Not significant
E01000053,Barking and Dagenham 020A,Barking and Dagenham,older_adults,0.364154701708637,Not significant,0.00288333173476746,0.4856,0.492306092607636,Not significant
E01000054,Barking and Dagenham 018A,Barking and Dagenham,older_adults,0.233605806054645,Not significant,-0.00279096277349336,0.4783,0.48798202247191,Not significant
E01000055,Barking and Dagenham 018B,Barking and Dagenham,older_adults,0.225836426469548,Not significant,-0.0158507279892368,0.4118,0.446601260047795,Not significant
E01000056,Barking and Dagenham 018C,Barking and Dagenham,older_adults,0.334050375759047,Not significant,0.0206031253583597,0.4142,0.447379930795848,Not significant
E01000057,Barking and Dagenham 012A,Barking and Dagenham,older_adults,-0.492653216894934,Not significant,0.00046178267525519,0.4934,0.496683363581367,Not significant
E01000058,Barking and Dagenham 018D,Barking and Dagenham,older_adults,-0.332986120309323,Not significant,0.0304396571433414,0.3646,0.413561281526926,Not significant
E01000059,Barking and Dagenham 013C,Barking and Dagenham,older_adults,0.280427743982221,Not significant,-0.0223534889232229,0.3769,0.423185964912281,Not significant
E01000060,Barking and Dagenham 006B,Barking and Dagenham,older_adults,-0.955113775866733,Not significant,-0.102507373157516,0.299,0.36592498161314,Not significant
E01000061,Barking and Dagenham 006C,Barking and Dagenham,older_adults,-1.94824052651205,Not significant,-0.458624425371577,0.1705,0.256366265060241,Not significant
E01000062,Barking and Dagenham 006D,Barking and Dagenham,older_adults,1.32384510176595,Not significant,0.347492143024824,0.1502,0.234458536585366,Not significant
E01000063,Barking and Dagenham 004A,Barking and Dagenham,older_adults,-0.299310536712029,Not significant,-0.0193404341615555,0.3843,0.428698458100559,Not significant
E01000064,Barking and Dagenham 006E,Barking and Dagenham,older_adults,1.46748198098133,Not significant,0.413415334934539,0.1514,0.235521595512621,Not significant
E01000065,Barking and Dagenham 007A,Barking and Dagenham,older_adults,1.95315255584818,Not significant,0.402092392521393,0.2025,0.284975824175824,Not significant
E01000066,Barking and Dagenham 011A,Barking and Dagenham,older_adults,1.49760527917361,Not significant,0.00564078733843825,0.4857,0.492307492385787,Not significant
E01000067,Barking and Dagenham 011B,Barking and Dagenham,older_adults,0.0647995686079412,Not significant,0.0182168376266102,0.1432,0.226721979067555,Not significant
E01000068,Barking and Dagenham 016E,Barking and Dagenham,older_adults,-0.0223703597863673,Not significant,0.00426489612820099,0.2382,0.316633910034602,Not significant
E01000069,Barking and Dagenham 011C,Barking and Dagenham,older_adults,-0.330249395038345,Not significant,-0.0258442642902984,0.4064,0.442571727748691,Not significant
E01000070,Barking and Dagenham 011D,Barking and Dagenham,older_adults,-0.0329941558306826,Not significant,-0.00239724016811889,0.3846,0.42893726541555,Not significant
E01000071,Barking and Dagenham 011E,Barking and Dagenham,older_adults,-0.679897055343679,Not significant,0.080606991737951,0.2852,0.355574025974026,Not significant
E01000072,Barking and Dagenham 017E,Barking and Dagenham,older_adults,-0.359029192465919,Not significant,-0.0303632449306583,0.3608,0.410463445761167,Not significant
E01000073,Barking and Dagenham 012B,Barking and Dagenham,older_adults,1.09406679215827,Not significant,0.157212924959786,0.276,0.347488524590164,Not significant
