group,WALK + PT 15,WALK + PT 30,WALK 15,mode_gain_same_15,threshold_gain_same_mode,total_endpoint_difference,mode_share_pct
Caregiving adults,36.2343612334802,59.639947937525,35.5914964624216,0.642864771058605,23.4055867040449,24.0484514751035,2.67320651279414
Children and adolescents,39.406380990522,64.3372046455747,38.8661326925644,0.540248297957547,24.9308236550527,25.4710719530103,2.12102693971503
Older adults,35.8429582165265,60.9823788546256,35.0978774529435,0.745080763582962,25.1394206380991,25.884501401682,2.87848219295638
