variable,label,matched_n,missing_n,matched_mean,missing_mean,mean_difference_missing_minus_matched,standardized_mean_difference,wilcoxon_p
children_pct,Children aged 0-15 (%),4813,181,19.1437993601407,17.6421436686437,-1.501655691497,-0.327976508676875,0.0021454954021605
older_adults_pct,Adults aged 65+ (%),4813,181,12.4097330518152,4.52388573808631,-7.88584731372894,-1.49511987956637,0.000000000000000000000000000000000000000000000000000000000000000000000000000010811485987429
caregiver_household_intensity,Dependent-child households (%),4813,181,32.1155678205565,28.0962155550433,-4.01935226551322,-0.446543145951666,0.0000000774923851013773
care_need_score,Caregiving need score,4813,181,38.7883275276842,34.8156772915542,-3.97265023613004,-0.322081388773863,0.000146347273168999
care_walk_index,Caregiving WALK 15,4813,181,35.3553293164347,41.8714548802947,6.51612556386001,0.429844390841217,0.00000000156444462108041
care_transit_index,Caregiving PT 30,4813,181,59.432495325161,65.1563535911602,5.7238582659992,0.393705645327861,0.00000000133985864731915
children_walk_index,Children WALK 15,4813,181,38.6573031373364,44.419152854512,5.76184971717559,0.337510812987548,0.00000556425642437317
older_walk_index,Older-adult WALK 15,4813,181,34.8397949996537,41.9605893186004,7.12079431894665,0.411585609618827,0.0000000211478512706465
